지점명,주소,위도,경도
H&M 용산아이파크몰점,서울특별시 용산구 Hangangro 3ga,37.533806,126.958287
H&M (에이치앤엠) 영등포타임스퀘어몰점,"15 Yongdeungpo-dong, Times Square Mall, 영등포구 서울특별시",37.5170751,126.9033411
H&M 홍대점,"107 Eoulmadang-ro, Hongdae, 마포구 서울특별시",37.5546492,126.9225199
H&M 가로수길점,서울특별시 강남구 도산대로13길 18,37.52106819999999,127.03414
H&M 롯데백화점김포공항점,서울특별시 강서구 하늘길 77,37.5650592,126.8029919
H&M 명동중앙길점,서울특별시 중구 명동8길 3,37.5635469,126.9851428
H&M 신도림현대디큐브점,서울특별시 구로구 경인로 662,37.5085845,126.8888977
H&M 마리오아울렛점,"3rd building 2nd floor, Mario, 266 벚꽃로 금천구 서울특별시",37.4784556,126.8850161
H&M 코엑스점,서울특별시 강남구 삼성동 172-60,37.5147697,127.0632364
H&M 강남신세계점,서울특별시 서초구 신반포로 176,37.5043637,127.0036211
H&M 잠실롯데월드몰점,"Lotte Mall, 29 Shincheon-Dong, 잠실본동 송파구 서울특별시",37.5133121,127.1037107
H&M 롯데백화점 청량리점,서울특별시 동대문구 왕산로 214,37.5809769,127.0469926
,,,
